k,avg_time,ci
1,11.303996,0.8860608177848673
5,2.6283000000000003,0.2507823029075154
10,1.7340059999999997,0.11707866245662217
20,0.9416079999999999,0.05454011574113602
50,0.5486166000000001,0.036453418881995006
100,0.40467499999999995,0.024704316416605736
200,0.2817334,0.01704325115063522
